Titel,Notiz,URL,Kommentar
Ansgar-Eck,,https://www.google.com/maps/place/Ansgar-Eck/data=!4m2!3m1!1s0x47ba4cbaa909af71:0x1c41784a2e4f6eb1,
The Peak Tram,,https://www.google.com/maps/place/The+Peak+Tram/data=!4m2!3m1!1s0x3404006590a6e171:0x5be33605edeb5045,
Sino Centre,,https://www.google.com/maps/place/Sino+Centre/data=!4m2!3m1!1s0x340400c71ed4c065:0xc9c0a3d38c826a2a,
CrossFit Paderborn,,https://www.google.com/maps/place/CrossFit+Paderborn/data=!4m2!3m1!1s0x47ba4ce7df313709:0x2208b250d2b082c5,
FreiWerk Paderborn e.V.,,https://www.google.com/maps/place/FreiWerk+Paderborn+e.V./data=!4m2!3m1!1s0x47ba4d973326642f:0xce3436f0b9b809a1,
Amalthea Lesetheater,,https://www.google.com/maps/place/Amalthea+Lesetheater/data=!4m2!3m1!1s0x47ba4cbd84f635e9:0x78c6c1fdbd677929,
Konfuzius-Institut Paderborn gGmbH,,https://www.google.com/maps/place/Konfuzius-Institut+Paderborn+gGmbH/data=!4m2!3m1!1s0x47ba4c961eca4305:0x4295990855722845,
Shaolin Chikung Schule Paderborn,,https://www.google.com/maps/place/Shaolin+Chikung+Schule+Paderborn/data=!4m2!3m1!1s0x47ba4cacf82017c5:0x41328a3360efcb6a,
Eisfabrik,,https://www.google.com/maps/place/Eisfabrik/data=!4m2!3m1!1s0x47ba4c62edf51a67:0xedd00ddf120a3a5a,
Kurs Haxterhöhe Links,,https://www.google.com/maps/place/Kurs+Haxterh%C3%B6he+Links/data=!4m2!3m1!1s0x47ba4cd144fa4a5b:0x646c2f98ade78f5,
Miss PeppeR Paderborn,,https://www.google.com/maps/place/Miss+PeppeR+Paderborn/data=!4m2!3m1!1s0x47bbb4a6dee15817:0x2beab4f416b41c26,
ADAC Trainingsanlage,,https://www.google.com/maps/place/ADAC+Trainingsanlage/data=!4m2!3m1!1s0x47bbb4a6a750f4bd:0xadbd98e40e032bea,
Kletterhalle XI. Grad,,https://www.google.com/maps/place/Kletterhalle+XI.+Grad/data=!4m2!3m1!1s0x47bbb388015ee5d1:0xe3add17ebdb63cc2,
Doha,,https://www.google.com/maps/place/Doha/data=!4m2!3m1!1s0x3e45c534ffdce87f:0x44d9319f78cfd4b1,
Katar,,https://www.google.com/maps/place/Katar/data=!4m2!3m1!1s0x3e45c534ffdce87f:0x1cfa88cf812b4032,
Abu Dhabi,,https://www.google.com/maps/place/Abu+Dhabi/data=!4m2!3m1!1s0x3e5e440f723ef2b9:0xc7cc2e9341971108,
Nessmersiel,,https://www.google.com/maps/place/Nessmersiel/data=!4m2!3m1!1s0x47b6128da65de24b:0xd86c91cebfd3b78a,
Fursten Forest,,https://www.google.com/maps/place/Fursten+Forest/data=!4m2!3m1!1s0x4165217edc805bb1:0x881e79a38a489aea,
Kaunertal,,https://www.google.com/maps/place/Kaunertal/data=!4m2!3m1!1s0x479cd546de988055:0xd91a230c688b9f1,
Schloss Kaltenberg,,https://www.google.com/maps/place/Schloss+Kaltenberg/data=!4m2!3m1!1s0x479c266a9bc78ccf:0x39431f3edab270f,
Höhle von Lascaux,,https://www.google.com/maps/place/H%C3%B6hle+von+Lascaux/data=!4m2!3m1!1s0x47ff54661315ceeb:0x13c61174a74ed6a6,
Da Silva Surfcamp Portugal,,https://www.google.com/maps/place/Da+Silva+Surfcamp+Portugal/data=!4m2!3m1!1s0xd1f365753d915c1:0x4941d065f98949c6,
Action Aquapark,,https://www.google.com/maps/place/Action+Aquapark/data=!4m2!3m1!1s0x40a69e48f361aa8f:0x2aeeb0792d64df72,
Moosheide,,https://www.google.com/maps/place/Moosheide/data=!4m2!3m1!1s0x47ba4817271f31dd:0xa08e72b5564b30a4,
Wolfsburger Weihnachtsmarkt,,https://www.google.com/maps/place/Wolfsburger+Weihnachtsmarkt/data=!4m2!3m1!1s0x47af93b5ad86504d:0xacbb77c5ee99768e,
Bergpark Wilhelmshöhe,,https://www.google.com/maps/place/Bergpark+Wilhelmsh%C3%B6he/data=!4m2!3m1!1s0x47bb3ff38619981b:0x568e0b631a40365c,
Campingplatz Seebrücke,,https://www.google.com/maps/place/Campingplatz+Seebr%C3%BCcke/data=!4m2!3m1!1s0x47bbbd59a453fed9:0xb28f2426f1769a16,
Wild- und Freizeitpark Willingen,,https://www.google.com/maps/place/Wild-+und+Freizeitpark+Willingen/data=!4m2!3m1!1s0x47bb96acf356e49b:0xb2a6411496e493ae,
MTB ZONE Bikepark Willingen,,https://www.google.com/maps/place/MTB+ZONE+Bikepark+Willingen/data=!4m2!3m1!1s0x47bb96ae6223ca6f:0x69d2df028d2aa951,
Nieder-Mooser See,,https://www.google.com/maps/place/Nieder-Mooser+See/data=!4m2!3m1!1s0x47bcd02acacbcd0b:0x99312c8173a1de9c,
